"script.filename","script.startdate","script.starttime","script.subjectid","script.groupid","values.bad_left","script.elapsedtime","computer.platform","values.completed","expressions.propcorrect","expressions.meanRT","expressions.propcorrect_BB","expressions.meanRT_BB","expressions.propcorrect_BG","expressions.meanRT_BG","expressions.propcorrect_GB","expressions.meanRT_GB","expressions.propcorrect_GG","expressions.meanRT_GG","values.emotcond","values.question_order"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","15:13:51","2016","183","1","1152132","win","1","0.5357142857142856984","1135.0632911392406185769","0.6285714285714285587","1009","0.4428571428571428381","1226.9166666666667424579","0.5857142857142857428","1149.2298850574711650552","0.4857142857142857095","1179.6571428571428441501","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","15:16:13","2017","184","0","978245","win","1","0.5285714285714285809","814.2565055762081556168","0.8000000000000000444","717.2133333333333666815","0.2285714285714285643","833.38461538461535838","0.5999999999999999778","777.096774193548412768","0.4857142857142857095","938.7164179104477170767","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","092517","12:23:58","2018","185","0","1165817","win","1","0.4357142857142857206","1185.4071428571428441501","0.4571428571428571286","1046.0869565217392391787","0.3571428571428571508","1219.5","0.4000000000000000222","1089.328125","0.5285714285714285809","1355.5822784810127359378","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092717","12:06:56","2028","196","0","1199242","win","1","0.4642857142857143016","1323.740072202166174975","0.5571428571428571619","1343.828125","0.4714285714285714191","1346.7307692307692832401","0.4857142857142857095","1220.9696969696969972574","0.3428571428571428603","1377.4202898550724967208","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092717","09:07:08","2029","197","0","1092507","win","1","0.5428571428571428159","968.1877256317688988929","0.7142857142857143016","909.2077922077921812161","0.3857142857142857317","1049.1515151515152410866","0.6714285714285713746","928.4929577464788508223","0.4000000000000000222","1000.1904761904761471669","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","092717","12:11:20","2030","198","1","1405556","win","1","0.6071428571428570953","1245.8284023668638837989","0.7142857142857143016","1054.1739130434782509838","0.4285714285714285476","1421.8461538461538111733","0.7857142857142856984","1123.9600000000000363798","0.5","1472.7160493827159370994","disgust","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092717","12:11:42","2031","199","1","1134207","win","1","0.5446428571428570953","780.9770491803278673615","0.6500000000000000222","749.9120879120879408219","0.4071428571428571397","807.0701754385964932226","0.5857142857142857428","819.3780487804878021052","0.5357142857142856984","756.8533333333333530391","disgust","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","092717","09:11:59","2032","200","1","1559889","win","1","0.5714285714285713969","1451.9581993569131554978","0.6857142857142857206","1332.8876404494380949473","0.4571428571428571286","1700.2753623188405072142","0.6714285714285713746","1353.7341772151899021992","0.4714285714285714191","1468.4864864864864557603","fear","moral_then_pleasant"
"evaluative_categorization_mar13_2017_p_m.iqx","092717","13:03:36","2033","202","0","954003","win","1","0.5285714285714285809","478.3265306122448805581","0.9285714285714286031","432.3793103448275587652","0.1000000000000000056","670.6296296296296759465","0.2428571428571428548","509.0238095238095183959","0.8428571428571428603","467.7614678899082605312","fear","pleasant_then_moral"
"evaluative_categorization_mar13_2017_p_m.iqx","092717","10:03:44","2034","203","1","1540200","win","1","0.5678571428571428381","1345.3517915309446379979","0.8428571428571428603","1351.6146788990824916254","0.3428571428571428603","1480.607843137254803878","0.6999999999999999556","1260.5531914893617795315","0.3857142857142857317","1352.7169811320754888584","disgust","moral_then_pleasant"
